id_1,cannon_teff_1,cannon_logg_1,cannon_m_h_1,cannon_alpha_m_1,cannon_teff_err_1,cannon_logg_err_1,cannon_m_h_err_1,cannon_alpha_m_err_1,cannon_red_chisq_1,ra_1,dec_1,snrg_1,codeindex_1,id_2,cannon_teff_2,cannon_logg_2,cannon_m_h_2,cannon_alpha_m_2,cannon_teff_err_2,cannon_logg_err_2,cannon_m_h_err_2,cannon_alpha_m_err_2,cannon_red_chisq_2,ra_2,dec_2,snrg_2,codeindex_2,Separation
spec-56670-GAC084N44V2_sp15-025.fits,4766.6563666,2.37565695417,-0.06283368128,0.0417297458128,15.5194915216,0.0424792901168,0.0203192466946,0.00901752956792,0.535783414764574,83.771309,45.044997,46.63999938964844,383889,spec-56670-GAC084N44V2_sp15-025.fits,4766.6563666,2.37565695417,-0.06283368128,0.0417297458128,15.5194915216,0.0424792901168,0.0203192466946,0.00901752956792,0.535783414764574,83.771309,45.044997,46.63999938964844,383889,0.0
spec-56670-GAC123N04V1_sp10-219.fits,4116.46969812,1.52633634729,-0.66813702749,0.230864144046,9.1617271378,0.0241014596411,0.0152731054065,0.00777146374115,0.7907464826011397,121.63568,4.2954213,73.16999816894531,384335,spec-56670-GAC123N04V1_sp10-219.fits,4116.46969812,1.52633634729,-0.66813702749,0.230864144046,9.1617271378,0.0241014596411,0.0152731054065,0.00777146374115,0.7907464826011397,121.63568,4.2954213,73.16999816894531,384335,0.0
spec-56670-GAC123N04V2_sp12-009.fits,4812.6888666,3.01454626387,-0.0302014000044,0.0668781407719,17.2198879115,0.0376442282961,0.0200333507695,0.0099706519188,1.229976379766526,124.48894,6.4001955,50.119998931884766,384914,spec-56670-GAC123N04V2_sp12-009.fits,4812.6888666,3.01454626387,-0.0302014000044,0.0668781407719,17.2198879115,0.0376442282961,0.0200333507695,0.0099706519188,1.229976379766526,124.48894,6.4001955,50.119998931884766,384914,0.0
spec-56670-GAC123N04V2_sp14-010.fits,4567.0131899,2.45293064963,0.138882440473,0.0412983050855,10.8979381782,0.0289117953469,0.0146656837508,0.00759811753526,1.0259823798536447,121.07458,6.097398,48.84000015258789,384971,spec-56670-GAC123N04V2_sp14-010.fits,4567.0131899,2.45293064963,0.138882440473,0.0412983050855,10.8979381782,0.0289117953469,0.0146656837508,0.00759811753526,1.0259823798536447,121.07458,6.097398,48.84000015258789,384971,0.0
spec-56670-HD030004N551117V01_sp01-167.fits,4960.73251875,2.64471581287,0.0256228662632,0.0367132997728,16.7847958078,0.0428562166384,0.0201884324069,0.00734809666758,0.6559092668278201,44.830921,53.350385,45.47999954223633,385200,spec-56670-HD030004N551117V01_sp01-167.fits,4960.73251875,2.64471581287,0.0256228662632,0.0367132997728,16.7847958078,0.0428562166384,0.0201884324069,0.00734809666758,0.6559092668278201,44.830921,53.350385,45.47999954223633,385200,0.0
spec-56670-HD030004N551117V01_sp10-098.fits,4255.81254948,1.8264417927,-0.0506048949279,0.0254044584553,11.5524797559,0.0292785024838,0.0174104000257,0.00678449382205,1.194567771062077,41.204363,54.378497,39.65999984741211,385430,spec-56670-HD030004N551117V01_sp10-098.fits,4255.81254948,1.8264417927,-0.0506048949279,0.0254044584553,11.5524797559,0.0292785024838,0.0174104000257,0.00678449382205,1.194567771062077,41.204363,54.378497,39.65999984741211,385430,0.0
spec-56670-HD030004N551117V01_sp15-049.fits,4798.82455841,3.208295661,0.025338719515,0.0312127356332,18.4653534992,0.0343275230152,0.0214234485147,0.00760950288058,0.5080147130847066,44.871436,56.536348,49.2599983215332,385556,spec-56670-HD030004N551117V01_sp15-049.fits,4798.82455841,3.208295661,0.025338719515,0.0312127356332,18.4653534992,0.0343275230152,0.0214234485147,0.00760950288058,0.5080147130847066,44.871436,56.536348,49.2599983215332,385556,0.0
spec-56671-VB092S06V1_sp04-105.fits,4449.07834354,1.98948167689,-0.367659342826,0.0612921454733,13.9611560469,0.0379823766246,0.0212069541997,0.00925192646889,1.0019361708906525,92.640008,-7.083214,34.68000030517578,386510,spec-56671-VB092S06V1_sp04-105.fits,4449.07834354,1.98948167689,-0.367659342826,0.0612921454733,13.9611560469,0.0379823766246,0.0212069541997,0.00925192646889,1.0019361708906525,92.640008,-7.083214,34.68000030517578,386510,0.0
spec-56671-VB092S06V1_sp05-231.fits,4787.19489774,2.74843906761,-0.0701263235327,0.00196174398885,14.811093558,0.0343025684442,0.0183640405428,0.00698290666755,0.4101789047449585,91.190394,-7.803067,58.709999084472656,386532,spec-56671-VB092S06V1_sp05-231.fits,4787.19489774,2.74843906761,-0.0701263235327,0.00196174398885,14.811093558,0.0343025684442,0.0183640405428,0.00698290666755,0.4101789047449585,91.190394,-7.803067,58.709999084472656,386532,0.0
spec-56671-VB092S06V1_sp06-057.fits,4604.13041157,2.30019615983,-0.219363134766,0.0246638831678,20.0903991558,0.0534340965736,0.0278578937685,0.0109959457214,0.34709929507111753,94.533151,-7.056989,30.829999923706055,386542,spec-56671-VB092S06V1_sp06-057.fits,4604.13041157,2.30019615983,-0.219363134766,0.0246638831678,20.0903991558,0.0534340965736,0.0278578937685,0.0109959457214,0.34709929507111753,94.533151,-7.056989,30.829999923706055,386542,0.0
